,Date,Open,High,Low,Close,Volume
0,2021-11-06,33415.4,34055.86,34031.01,33673.62,28.321107
1,2021-11-05,33718.01,34416.39,33999.0,34038.9,87.233098
2,2021-11-04,33355.4,34689.01,34679.98,34015.65,164.848714
3,2021-11-03,33706.25,35488.12,35052.57,34683.05,239.470209
4,2021-11-02,34276.34,35363.52,34800.44,35052.57,174.964203
5,2021-11-01,33270.01,35058.4,34138.59,34786.66,164.540462
6,2021-10-31,33170.0,34328.86,33777.79,34136.61,172.829295
7,2021-10-30,33517.6,35060.81,35035.64,33787.38,131.730278
8,2021-10-29,34080.0,35500.0,34138.48,35038.76,295.545736
9,2021-10-28,33415.94,35089.19,33961.62,34153.64,345.724441
10,2021-10-27,33823.15,39535.14,37638.24,33923.58,560.384794
11,2021-10-26,34725.18,38836.58,34794.53,37638.38,506.676297
12,2021-10-25,34356.12,35104.46,34512.05,34816.57,117.845984
13,2021-10-24,33980.0,35911.45,35803.74,34520.65,142.126867
14,2021-10-23,34411.84,35821.85,34650.52,35775.42,132.799852
15,2021-10-22,33500.0,34863.29,34314.72,34677.3,164.295559
16,2021-10-21,34208.28,36644.81,36087.7,34321.97,290.725575
17,2021-10-20,34200.0,36199.98,34787.95,36081.13,161.696917
18,2021-10-19,33597.82,34796.97,33851.72,34796.97,116.012476
19,2021-10-18,33280.01,34998.41,34805.17,33840.38,218.612524
20,2021-10-17,33300.0,35599.85,35144.13,34785.61,140.368959
21,2021-10-16,34982.01,36377.66,35977.71,35103.4,189.265915
22,2021-10-15,34650.0,36652.63,35421.5,35991.35,324.475117
23,2021-10-14,34438.97,36100.0,34630.35,35423.02,132.650044
24,2021-10-13,34075.8,35653.94,34809.45,34608.95,222.22704
25,2021-10-12,33241.92,35505.65,35505.65,34798.8,268.488418
26,2021-10-11,32132.1,35555.0,32596.44,35504.64,291.794902
27,2021-10-10,32470.0,34897.56,33992.05,32597.03,211.719102
28,2021-10-09,33770.14,35351.43,34640.29,33999.69,261.825789
29,2021-10-08,32072.13,37464.17,32193.66,34638.12,786.864786
30,2021-10-07,30908.71,32772.32,32050.01,32191.76,286.537709
31,2021-10-06,29870.0,32809.74,31898.08,32049.6,307.372883
32,2021-10-05,30102.24,32333.33,30785.94,31863.74,407.471287
33,2021-10-04,29691.99,31377.1,31361.36,30767.08,197.513235
34,2021-10-03,31175.78,32251.5,31899.59,31349.94,182.034394
35,2021-10-02,30900.0,32779.5,31672.55,31900.0,183.305525
36,2021-10-01,28831.4,31705.27,29201.64,31701.81,267.961304
37,2021-09-30,28417.38,29576.96,28577.91,29198.14,188.465643
38,2021-09-29,27920.3,29613.91,28201.99,28572.05,101.009372
39,2021-09-28,28135.0,29977.83,28600.0,28227.58,177.222848
40,2021-09-27,28605.13,31738.68,30361.1,28645.46,142.454926
41,2021-09-26,27760.0,31019.89,30277.97,30422.33,184.876
42,2021-09-25,28559.03,30497.15,29285.18,30287.57,173.563371
43,2021-09-24,27103.79,31392.9,31265.62,29281.4,303.900854
44,2021-09-23,29972.36,31445.21,30500.4,31267.04,146.743386
45,2021-09-22,26934.92,30620.14,27408.62,30520.53,275.241973
46,2021-09-21,26532.72,30387.95,29549.69,27371.26,350.314672
47,2021-09-20,28330.0,33070.68,33034.62,29553.61,533.696766
48,2021-09-19,32500.0,33970.75,33949.95,33024.43,120.243623
49,2021-09-18,32836.33,34423.42,33297.35,33928.61,128.860266
50,2021-09-17,32790.0,35103.11,34761.39,33237.33,190.222753
51,2021-09-16,34176.55,36769.25,36541.24,34789.89,262.227507
52,2021-09-15,35165.26,37999.99,35730.29,36541.24,726.391134
53,2021-09-14,32540.0,35747.39,32766.55,35747.39,280.586391
54,2021-09-13,31125.73,33604.11,33230.01,32764.08,242.168221
55,2021-09-12,32400.0,34326.18,32974.11,33242.59,256.318506
56,2021-09-11,32540.0,34023.48,32801.06,33012.12,264.35765
57,2021-09-10,32000.0,35436.08,34331.25,32807.31,276.744771
58,2021-09-09,33453.9,35698.42,34711.08,34339.55,390.596611
59,2021-09-08,32195.7,35910.31,34604.65,34667.0,555.161836
60,2021-09-07,30565.03,42786.92,42221.57,34604.64,793.894771
61,2021-09-06,41488.32,43551.09,42865.26,42207.97,233.130696
62,2021-09-05,40575.0,43941.26,41525.11,42902.47,333.715199
