,Date,Open,High,Low,Close,Volume
0,2021-12-20,3052.54,3626.93,3220.15,3125.86,1419.68778616
1,2021-12-19,3204.05,3435.28,3395.72,3226.3,266.12502599
2,2021-12-18,3339.53,4050.0,3846.62,3388.58,1742.17408438
3,2021-12-17,2792.77,4780.0,2923.06,3790.01,1251.70138943
4,2021-12-16,2766.47,2973.31,2813.71,2910.47,47.46129416
5,2021-12-15,2663.29,2956.03,2782.31,2809.36,67.39962201
6,2021-12-14,2445.54,2841.19,2456.23,2797.09,125.48716378
7,2021-12-13,2335.74,2720.81,2666.16,2455.29,190.13137438
8,2021-12-12,2572.95,2817.34,2640.09,2665.42,153.88610416
9,2021-12-11,2458.25,2645.99,2500.0,2639.3,33.7398543
10,2021-12-10,2500.0,2709.41,2648.91,2500.0,45.19615924
11,2021-12-09,2625.97,2900.05,2881.2,2636.77,75.60627925
12,2021-12-08,2704.08,2881.2,2741.0,2881.2,298.62127675
13,2021-12-07,2686.55,2927.52,2703.05,2763.3,54.83974165
14,2021-12-06,2405.17,2703.31,2673.8,2702.04,53.60986459
15,2021-12-05,2588.0,2876.21,2845.06,2672.79,71.02798812
16,2021-12-04,2417.53,3268.76,3258.1,2805.68,303.24025254
17,2021-12-03,3233.37,3492.46,3458.97,3265.8,54.51655503
18,2021-12-02,3322.67,3480.47,3437.66,3464.56,67.6998433
19,2021-12-01,3416.0,3548.32,3469.87,3440.73,79.53837424
20,2021-11-30,3423.01,3560.06,3497.01,3469.87,27.12641729
21,2021-11-29,3454.74,3547.03,3521.48,3502.31,46.06734555
22,2021-11-28,3316.97,3527.07,3452.23,3519.07,98.62944169
23,2021-11-27,3417.0,3536.89,3438.76,3446.65,45.07684776
24,2021-11-26,3369.72,3830.64,3805.17,3435.11,122.81987706
25,2021-11-25,3734.14,3871.98,3752.0,3806.62,24.29043828
26,2021-11-24,3679.27,3903.29,3845.17,3751.73,43.97603155
27,2021-11-23,3676.78,3870.0,3691.57,3851.03,37.55401499
28,2021-11-22,3660.78,3896.57,3892.0,3691.53,58.94524207
29,2021-11-21,3850.01,3991.04,3914.68,3902.81,51.63662937
30,2021-11-20,3792.0,3956.28,3909.99,3916.39,41.43784552
31,2021-11-19,3716.0,3947.67,3778.22,3916.85,71.2016233
32,2021-11-18,3724.51,4318.69,3863.77,3777.21,353.77298979
33,2021-11-17,3736.64,3889.19,3871.03,3865.9,55.95700835
34,2021-11-16,3699.76,4111.1,4111.09,3871.03,120.36982303
35,2021-11-15,4062.82,4279.95,4149.95,4111.69,119.98927451
36,2021-11-14,4075.12,4202.84,4119.64,4142.58,80.92160465
37,2021-11-13,4053.01,4204.47,4115.95,4113.71,47.46798063
38,2021-11-12,3866.36,4131.95,4040.0,4115.95,164.39859026
39,2021-11-11,3730.0,4101.97,3779.0,4040.37,154.02931243
40,2021-11-10,3552.41,4145.35,4056.4,3784.85,164.78091826
41,2021-11-09,4032.58,4362.8,4362.2,4056.76,163.7852741
42,2021-11-08,3871.0,4397.83,3897.24,4358.37,323.17965978
43,2021-11-07,3792.25,3913.37,3835.8,3898.07,69.8478236
44,2021-11-06,3733.74,3895.17,3860.92,3839.75,65.60375327
45,2021-11-05,3810.01,3887.36,3851.0,3860.89,38.14729747
46,2021-11-04,3770.51,4116.1,4100.85,3851.03,96.06423169
47,2021-11-03,3723.08,4111.89,3864.48,4100.85,153.74598623
48,2021-11-02,3836.0,4032.42,3991.01,3867.85,135.07818492
49,2021-11-01,3666.68,4000.0,3773.94,3991.02,138.13366718
50,2021-10-31,3677.65,3830.63,3784.93,3773.94,90.41829395
51,2021-10-30,3724.27,3878.77,3868.22,3784.93,96.2835739
52,2021-10-29,3769.01,3931.67,3808.03,3861.18,110.17188472
53,2021-10-28,3651.11,3872.92,3680.86,3816.87,139.98007107
54,2021-10-27,3620.06,4523.9,4202.66,3677.62,288.35479863
55,2021-10-26,4049.31,4357.14,4051.55,4201.91,122.78670027
56,2021-10-25,3945.0,4081.81,3957.0,4050.54,33.94280226
57,2021-10-24,3909.01,4111.05,4005.09,3958.0,80.06157161
58,2021-10-23,3893.01,4008.16,3961.94,4008.16,30.22704046
59,2021-10-22,3866.0,4003.83,3939.85,3961.79,42.85313898
60,2021-10-21,3879.1,4151.73,4054.47,3949.27,117.07144392
61,2021-10-20,3890.0,4100.0,3915.55,4048.39,132.21905345
62,2021-10-19,3860.05,3969.84,3938.2,3920.72,65.92026607
63,2021-10-18,3878.01,4044.52,3993.84,3931.55,57.47748387
64,2021-10-17,3908.0,4224.01,4170.76,4002.26,71.98020839
65,2021-10-16,4077.02,4242.57,4111.54,4161.9,88.89897711
66,2021-10-15,3952.75,4222.0,4018.32,4099.73,96.61330107
67,2021-10-14,3901.0,4057.58,3941.1,4027.34,85.09171417
68,2021-10-13,3777.75,3941.09,3854.41,3941.09,64.59481183
69,2021-10-12,3700.0,3880.6,3873.0,3858.25,167.48122612
70,2021-10-11,3866.01,4121.57,3996.0,3899.14,86.63910094
