,Date,Open,High,Low,Close,Volume
0,2021-11-06,161.28,165.99,162.67,165.92,2901.93286896
1,2021-11-05,160.65,169.65,163.69,162.9,19062.47644706
2,2021-11-04,160.12,172.0,168.58,163.84,35600.24741214
3,2021-11-03,160.02,172.12,171.85,168.4,32103.96690032
4,2021-11-02,167.37,180.44,169.55,171.81,46203.97697312
5,2021-11-01,161.61,173.31,167.42,170.0,35327.6566367
6,2021-10-31,151.8,187.98,153.26,167.25,87242.71677646
7,2021-10-30,149.98,162.73,162.5,153.07,49581.68739249
8,2021-10-29,156.69,163.84,159.19,162.7,28008.56470546
9,2021-10-28,143.82,160.75,147.25,159.23,52271.73387795
10,2021-10-27,142.81,162.85,161.28,147.2,55293.24122735
11,2021-10-26,158.62,171.68,170.03,161.1,51875.40201501
12,2021-10-25,169.13,177.36,173.21,169.99,62808.10313047
13,2021-10-24,170.61,190.3,173.54,172.82,113204.50495953
14,2021-10-23,163.91,174.35,164.81,173.52,85642.96890642
15,2021-10-22,154.86,166.71,154.87,164.96,61235.48613846
16,2021-10-21,146.29,158.83,149.89,154.98,67557.84691214
17,2021-10-20,143.98,151.26,144.18,149.93,30156.36696065
18,2021-10-19,139.92,147.62,140.6,144.15,32054.88164534
19,2021-10-18,135.01,146.9,137.9,140.79,59702.08858454
20,2021-10-17,124.28,141.47,126.2,137.91,65694.96950858
21,2021-10-16,123.53,128.07,126.21,126.0,14022.21761259
22,2021-10-15,119.2,126.9,121.82,126.34,26716.69701404
23,2021-10-14,118.95,122.67,119.41,121.7,14729.72817411
24,2021-10-13,113.11,119.69,115.99,119.34,12803.58076585
25,2021-10-12,111.6,119.61,119.61,116.18,16243.82732173
26,2021-10-11,116.56,125.85,119.43,119.71,16664.60905188
27,2021-10-10,119.3,127.98,127.43,119.32,14793.10996947
28,2021-10-09,122.16,128.24,123.73,127.54,17047.67925834
29,2021-10-08,122.95,127.64,125.36,123.47,19832.10653448
30,2021-10-07,121.58,129.6,125.5,125.4,33989.13870061
31,2021-10-06,114.78,127.05,123.29,125.5,46397.40073807
32,2021-10-05,115.39,124.28,117.06,123.29,28501.76624947
33,2021-10-04,112.71,119.16,118.83,116.98,26684.35617225
34,2021-10-03,112.57,119.59,114.52,118.84,23059.9228146
35,2021-10-02,111.95,117.59,114.82,114.34,16433.69243621
36,2021-10-01,106.28,115.04,107.17,114.81,25818.1569256
37,2021-09-30,103.18,108.04,103.33,107.16,25578.98846395
38,2021-09-29,100.52,108.33,100.86,103.36,19416.0666415
39,2021-09-28,100.29,107.63,104.63,100.88,24587.88460081
40,2021-09-27,104.41,113.85,111.18,104.41,14045.86239468
41,2021-09-26,102.21,113.14,110.75,111.37,25940.66101898
42,2021-09-25,107.2,112.88,110.91,110.78,14064.50969054
43,2021-09-24,105.26,123.48,122.57,110.81,37275.32965896
44,2021-09-23,118.17,123.5,121.3,122.67,16012.28414139
45,2021-09-22,110.6,121.73,111.88,121.46,14555.85122235
46,2021-09-21,108.22,120.82,118.92,111.75,35011.2202368
47,2021-09-20,115.16,133.91,133.56,118.93,62052.77644717
48,2021-09-19,132.06,141.46,138.63,133.57,10065.55639969
49,2021-09-18,132.6,143.92,133.65,138.63,21204.17479804
50,2021-09-17,132.62,140.21,138.02,133.91,18075.83474422
51,2021-09-16,133.83,146.45,139.94,137.87,63302.62550658
52,2021-09-15,130.92,140.07,133.77,139.84,22549.54343794
53,2021-09-14,125.79,133.88,127.47,133.88,19849.98564214
54,2021-09-13,121.01,132.47,131.21,127.69,25011.17307531
55,2021-09-12,126.18,133.71,128.41,131.27,16928.46580456
56,2021-09-11,126.88,134.51,128.26,128.41,16588.49278647
57,2021-09-10,125.0,142.54,137.49,128.25,30638.64569363
58,2021-09-09,131.7,143.88,135.3,137.52,44127.6338439
59,2021-09-08,120.5,139.45,136.56,135.52,46300.50423469
60,2021-09-07,118.56,171.8,171.17,136.45,55971.86289727
61,2021-09-06,163.78,176.05,172.91,171.31,28533.65833074
62,2021-09-05,159.01,175.87,160.3,173.03,34493.43913347
63,2021-09-04,155.04,162.19,156.56,160.33,21311.79012614
64,2021-09-03,147.01,159.9,150.82,156.54,29397.01862335
65,2021-09-02,150.11,155.04,151.63,150.63,30689.77137123
66,2021-09-01,140.76,152.0,143.85,151.71,27174.39114174
67,2021-08-31,139.0,148.13,141.16,143.85,17141.14419877
68,2021-08-30,140.51,149.16,148.42,141.25,14782.74630406
69,2021-08-29,146.08,154.36,150.9,148.34,17655.50814087
70,2021-08-28,146.83,152.51,152.1,150.7,11694.7673686
71,2021-08-27,139.7,152.33,144.26,152.28,13932.45439071
72,2021-08-26,143.32,165.14,164.05,144.07,20982.00638728
73,2021-08-25,150.37,164.38,155.56,163.65,12554.18751645
74,2021-08-24,152.57,171.49,165.4,155.36,30615.54313058
75,2021-08-23,159.86,168.64,160.74,165.4,36335.84232137
76,2021-08-22,152.96,161.74,156.38,160.55,19685.21033785
77,2021-08-21,148.15,157.99,153.75,156.02,16671.09174688
78,2021-08-20,145.99,156.01,147.29,153.92,24383.51480925
79,2021-08-19,137.71,147.77,140.85,147.2,20368.9391885
80,2021-08-18,135.17,145.08,141.38,140.77,19280.7119536
81,2021-08-17,140.68,159.82,150.27,141.4,32129.01232319
82,2021-08-16,148.45,157.93,154.93,150.19,28564.38945915
83,2021-08-15,140.72,156.32,145.03,154.8,25390.78112573
84,2021-08-14,137.29,147.76,145.08,145.09,24233.50310206
85,2021-08-13,132.73,145.32,133.7,145.07,19394.39998423
86,2021-08-12,130.54,142.93,137.0,133.65,17322.34481896
87,2021-08-11,131.84,142.69,131.85,137.11,22162.51573145
88,2021-08-10,128.03,134.75,130.57,132.08,21331.67106586
89,2021-08-09,118.76,132.5,123.74,130.67,23118.25736609
90,2021-08-08,121.56,136.24,134.21,123.7,29203.29285926
91,2021-08-07,125.51,134.9,126.94,134.13,35953.47800782
92,2021-08-06,117.47,128.64,119.18,126.99,19055.79099948
93,2021-08-05,114.2,120.99,118.06,119.2,14225.42316049
94,2021-08-04,112.7,120.71,114.05,118.11,15216.83322131
95,2021-08-03,109.37,116.76,115.2,114.06,12098.12208579
96,2021-08-02,113.22,119.95,115.63,115.27,17749.05496853
97,2021-08-01,110.62,123.52,111.32,115.57,29466.74923949
98,2021-07-31,108.68,112.62,110.14,111.3,15551.49857232
99,2021-07-30,102.97,110.14,108.3,110.14,28956.83442802
100,2021-07-29,104.43,108.83,105.95,108.14,16372.90881449
101,2021-07-28,101.56,105.98,102.9,105.94,12755.95769892
102,2021-07-27,98.0,103.69,101.47,102.99,12054.59344764
103,2021-07-26,100.13,109.65,100.64,101.29,39711.75162374
104,2021-07-25,95.73,100.62,99.41,100.52,11013.42617469
105,2021-07-24,97.03,102.75,97.85,99.32,15589.19749612
106,2021-07-23,92.1,99.09,97.5,97.85,15243.00742793
107,2021-07-22,91.55,97.94,95.24,97.5,18627.84488414
108,2021-07-21,84.24,95.54,85.59,95.14,17430.08629688
109,2021-07-20,83.17,91.72,89.29,85.68,26935.4633
110,2021-07-19,88.98,100.53,93.67,89.27,31937.11413176
111,2021-07-18,92.45,99.55,93.31,93.76,8896.31809726
112,2021-07-17,91.85,95.84,93.07,93.0,9225.30256936
113,2021-07-16,92.58,102.41,100.17,93.05,12707.54089125
114,2021-07-15,97.95,106.17,104.61,100.08,19126.02843936
115,2021-07-14,97.61,105.88,104.1,104.64,15482.05473364
116,2021-07-13,101.83,108.57,107.63,104.2,9411.23737724
117,2021-07-12,104.79,112.81,110.58,107.67,11767.21466207
118,2021-07-11,106.2,112.45,108.23,110.59,5432.11831215
119,2021-07-10,106.08,113.17,110.93,108.2,6647.45134211
120,2021-07-09,104.97,112.99,109.31,111.05,21830.34540079
121,2021-07-08,107.05,118.64,118.61,109.27,15717.75743946
122,2021-07-07,115.53,125.12,116.91,118.53,29705.42743928
123,2021-07-06,110.98,118.77,111.18,116.85,25095.64919266
124,2021-07-05,110.43,119.95,119.82,111.24,18490.87590785
125,2021-07-04,113.12,125.58,116.16,119.82,16823.67580984
126,2021-07-03,113.15,118.98,118.54,116.25,14516.2046514
127,2021-07-02,112.5,121.7,120.23,118.71,18297.95391739
128,2021-07-01,118.63,130.89,130.85,120.23,16327.33678253
129,2021-06-30,121.95,133.23,126.5,130.76,38230.92377407
130,2021-06-29,116.1,129.62,117.97,126.5,31457.85657257
