,Date,Open,High,Low,Close,Volume
0,2021-12-20,59.69,65.65,65.5,61.65,11846.005
1,2021-12-19,64.79,69.57,65.4,65.52,8365.738
2,2021-12-18,64.58,68.15,66.06,65.39,8564.482
3,2021-12-17,63.9,69.7,67.62,65.97,13310.602
4,2021-12-16,66.42,72.48,66.98,67.59,23773.52
5,2021-12-15,57.09,68.93,60.47,66.95,25970.546
6,2021-12-14,57.75,61.38,59.54,60.49,21144.408
7,2021-12-13,58.73,69.4,68.84,59.57,20989.574
8,2021-12-12,66.6,70.5,68.34,69.0,12550.096
9,2021-12-11,64.15,68.83,65.51,68.5,11765.167
10,2021-12-10,65.34,74.11,70.57,65.51,14792.068
11,2021-12-09,69.15,83.34,76.86,70.18,18900.129
12,2021-12-08,75.94,94.25,84.27,76.62,18920.844
13,2021-12-07,80.06,104.83,104.81,83.56,49162.108
14,2021-12-06,68.0,108.0,74.19,104.74,29124.329
15,2021-12-05,73.25,94.98,80.33,74.19,15448.085
16,2021-12-04,64.79,94.15,94.13,80.32,47637.202
17,2021-12-03,88.99,108.93,102.95,94.14,22830.046
18,2021-12-02,100.42,107.87,107.87,102.9,21641.472
19,2021-12-01,106.33,118.62,116.25,107.88,20866.223
20,2021-11-30,111.16,124.15,117.12,116.53,38000.648
21,2021-11-29,105.73,120.05,107.2,117.04,33511.357
22,2021-11-28,97.09,110.58,107.1,107.41,23688.044
23,2021-11-27,103.52,115.1,104.7,107.34,26411.549
24,2021-11-26,103.16,137.91,132.89,104.58,51205.475
25,2021-11-25,117.25,133.62,126.95,132.83,54029.387
26,2021-11-24,108.03,129.33,110.31,126.79,82126.578
27,2021-11-23,99.65,112.0,102.27,109.68,47913.842
28,2021-11-22,99.5,114.89,114.22,102.27,50654.359
29,2021-11-21,93.9,115.39,95.62,113.99,47969.014
30,2021-11-20,89.24,98.19,89.24,95.66,18321.581
31,2021-11-19,80.24,90.71,82.82,89.2,11003.745
32,2021-11-18,80.89,92.38,86.5,82.56,16631.046
33,2021-11-17,80.4,86.4,83.91,86.38,7421.12
34,2021-11-16,80.5,93.86,93.82,83.95,12688.424
35,2021-11-15,92.08,101.7,95.89,93.83,10122.407
36,2021-11-14,91.7,96.92,95.83,95.8,8281.069
37,2021-11-13,93.95,103.65,100.23,95.79,14094.253
38,2021-11-12,94.54,107.37,105.33,100.44,22335.264
39,2021-11-11,90.59,115.8,93.07,105.49,48655.146
40,2021-11-10,86.0,103.85,103.08,93.12,30166.989
41,2021-11-09,89.25,109.75,91.02,103.08,65426.674
42,2021-11-08,83.45,94.0,84.83,91.02,27833.998
43,2021-11-07,81.98,85.93,83.33,84.89,9319.618
