,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.724538,0.784904,0.770842,0.755084,3340203.64583
1,2021-12-19,0.766023,0.79754,0.785927,0.77037,1622214.15021
2,2021-12-18,0.746637,0.804134,0.774349,0.786153,2037822.81744
3,2021-12-17,0.734148,0.794161,0.779542,0.772815,3288802.56199
4,2021-12-16,0.770415,0.822135,0.790878,0.779591,3141180.8206
5,2021-12-15,0.717661,0.801319,0.767306,0.790465,3882646.17625
6,2021-12-14,0.734055,0.779001,0.751438,0.767781,3520431.30112
7,2021-12-13,0.743343,0.842911,0.83922,0.751409,3226393.90447
8,2021-12-12,0.811541,0.849873,0.848617,0.839011,1409739.97647
9,2021-12-11,0.783003,0.85,0.798804,0.848019,2215907.10691
10,2021-12-10,0.795,0.885,0.864213,0.799966,3593560.41844
11,2021-12-09,0.853802,0.9498,0.916764,0.862996,7108974.96367
12,2021-12-08,0.851077,0.928044,0.900883,0.916687,4287054.50188
13,2021-12-07,0.855515,0.963755,0.8606,0.900772,6503784.44568
14,2021-12-06,0.758524,0.871763,0.836063,0.86128,7162311.59855
15,2021-12-05,0.802952,0.913771,0.895103,0.836179,5663017.0742
16,2021-12-04,0.74083,1.045272,1.044648,0.895895,10299948.61198
17,2021-12-03,1.017354,1.121002,1.116402,1.046859,4644594.4762
18,2021-12-02,1.095957,1.155286,1.155286,1.116805,5065992.99872
19,2021-12-01,1.14007,1.188231,1.181257,1.154854,6403952.60068
20,2021-11-30,1.142285,1.234976,1.201422,1.180178,6096740.03634
21,2021-11-29,1.12923,1.215,1.174424,1.201868,3840685.75375
22,2021-11-28,1.079385,1.250684,1.240223,1.175223,6764998.89231
23,2021-11-27,1.092495,1.2425,1.092694,1.240223,8151923.84227
24,2021-11-26,1.045733,1.257012,1.169295,1.093538,15635121.04996
25,2021-11-25,1.136922,1.208437,1.16434,1.168894,7001815.18157
26,2021-11-24,1.057755,1.1747,1.12422,1.163895,8656816.20393
27,2021-11-23,1.06927,1.1374,1.077899,1.124012,4925436.37354
28,2021-11-22,1.062661,1.122881,1.119637,1.078425,5210333.3716
29,2021-11-21,1.113,1.155733,1.154646,1.118879,2459273.13748
30,2021-11-20,1.100052,1.17,1.14308,1.15434,3072108.30235
31,2021-11-19,1.038941,1.153,1.057974,1.142918,5657611.09889
32,2021-11-18,1.040507,1.185758,1.154457,1.0585,8195919.78343
33,2021-11-17,1.086302,1.161156,1.119097,1.154028,5780146.87101
34,2021-11-16,1.05,1.226198,1.226094,1.117908,10494895.98971
35,2021-11-15,1.221751,1.299,1.276332,1.225565,3294514.93275
36,2021-11-14,1.240006,1.304692,1.297197,1.27584,3555777.77677
37,2021-11-13,1.275825,1.3355,1.324816,1.29653,4359329.49695
38,2021-11-12,1.24,1.430501,1.312457,1.324346,14495981.53797
39,2021-11-11,1.184906,1.339999,1.206969,1.313854,11542327.26241
40,2021-11-10,1.191784,1.435952,1.309238,1.206823,22284010.21608
41,2021-11-09,1.24754,1.45,1.263571,1.30919,27114657.76909
42,2021-11-08,1.19002,1.279,1.21915,1.263855,6304939.56903
43,2021-11-07,1.200352,1.253464,1.240723,1.219271,3175844.84255
44,2021-11-06,1.155092,1.241276,1.193393,1.241029,7249384.01789
45,2021-11-05,1.16214,1.239846,1.194949,1.193393,6194351.9964
46,2021-11-04,1.15126,1.269176,1.237501,1.194987,8260862.04236
47,2021-11-03,1.186679,1.318296,1.31481,1.237084,9632498.41909
48,2021-11-02,1.229717,1.453238,1.240816,1.314432,24006838.2667
49,2021-11-01,1.106202,1.303969,1.189,1.24222,18134654.71269
50,2021-10-31,1.13333,1.6747,1.152373,1.188819,67538636.62309
51,2021-10-30,1.02015,1.35,1.052624,1.152433,27640829.63551
52,2021-10-29,0.965788,1.066392,0.975692,1.052388,8970980.60259
53,2021-10-28,0.919564,0.989336,0.932656,0.976009,10275088.66835
54,2021-10-27,0.918301,1.077164,1.067898,0.932105,11523094.91562
55,2021-10-26,1.005096,1.099105,1.011226,1.067874,8250520.52256
56,2021-10-25,0.989748,1.019113,0.995231,1.010675,4179360.46995
57,2021-10-24,0.973,1.021897,1.013869,0.994885,3802051.22927
58,2021-10-23,0.985481,1.022828,1.003648,1.014084,2436019.01253
59,2021-10-22,0.985097,1.032478,1.006715,1.003179,4821639.07316
60,2021-10-21,0.994537,1.089666,1.005638,1.00716,9955305.32416
61,2021-10-20,0.955739,1.007351,0.966976,1.006191,4624049.9794
62,2021-10-19,0.94462,0.987524,0.96883,0.966261,3424642.88167
63,2021-10-18,0.950864,0.997836,0.990584,0.969208,3686905.998
64,2021-10-17,0.956319,1.024208,1.003609,0.990906,4030572.69537
65,2021-10-16,0.992802,1.034706,1.024666,1.004737,4307175.144
66,2021-10-15,0.977579,1.035809,1.034736,1.02447,6562997.93297
67,2021-10-14,1.00853,1.046625,1.029294,1.034652,3574554.02545
68,2021-10-13,0.972931,1.029268,0.999514,1.029268,3656562.85298
69,2021-10-12,0.937478,1.017001,1.016866,0.99938,5334327.28697
70,2021-10-11,0.990786,1.076666,1.045111,1.016706,4767694.81658
71,2021-10-10,1.032045,1.1286,1.117098,1.045175,5062237.87026
72,2021-10-09,1.050694,1.119436,1.084157,1.116776,7857842.19148
73,2021-10-08,1.010553,1.109603,1.027825,1.085227,10396483.14701
74,2021-10-07,0.993863,1.040922,1.037932,1.027532,7333279.98449
75,2021-10-06,0.953747,1.063327,1.027253,1.037646,8037529.60917
76,2021-10-05,0.959321,1.031074,0.972817,1.026375,5437047.02692
77,2021-10-04,0.934433,1.005206,1.005206,0.972661,5222684.58504
78,2021-10-03,0.960946,1.05159,0.972932,1.004039,5373961.62397
